Country or Area,Subgroup,Year,Value,Value Footnotes
Belize,Male,2004,215.0,No footnotes
Belize,Male,2003,185.0,3.0
Benin,Female,2001,3920.0,1.0
Benin,Female,2000,3719.0,No footnotes
Benin,Female,1999,3346.0,No footnotes
Benin,Male,2001,15838.0,No footnotes
Benin,Male,2000,15034.0,No footnotes
Benin,Male,1999,12938.0,No footnotes
Bermuda,Female,2002,1080.0,1.0
Bermuda,Female,2001,1068.0,No footnotes
Bermuda,Male,2002,880.0,No footnotes
Bermuda,Male,2001,874.0,No footnotes
Bhutan,Female,2001,639.0,1.0
Bhutan,Female,2000,620.0,1.0
Bhutan,Female,1999,539.0,1.0
Bhutan,Male,2001,1254.0,No footnotes
Bhutan,Male,2000,1217.0,No footnotes
Bhutan,Male,1999,940.0,No footnotes
Botswana,Female,2005,5449.0,No footnotes
Botswana,Female,2004,4735.0,No footnotes
Botswana,Female,2002,3754.0,No footnotes
Botswana,Female,2001,3597.0,No footnotes
Botswana,Female,2000,2684.0,No footnotes
Botswana,Female,1999,2436.0,No footnotes
Botswana,Male,2005,5501.0,No footnotes
Botswana,Male,2004,5462.0,No footnotes
Botswana,Male,2002,4618.0,No footnotes
Botswana,Male,2001,4054.0,No footnotes
Botswana,Male,2000,3648.0,No footnotes
Botswana,Male,1999,3096.0,No footnotes
Brazil,Female,2004,2408720.0,No footnotes
Brazil,Female,2003,2254291.0,No footnotes
Brazil,Female,2002,2022907.0,No footnotes
Brazil,Female,2001,1753483.0,No footnotes
Brazil,Female,2000,1562153.0,No footnotes
Brazil,Female,1999,1365159.0,No footnotes
Brazil,Male,2004,1866307.0,No footnotes
Brazil,Male,2003,1740131.0,No footnotes
Brazil,Male,2002,1559198.0,No footnotes
Brazil,Male,2001,1372262.0,No footnotes
Brazil,Male,2000,1219175.0,No footnotes
Brazil,Male,1999,1091802.0,No footnotes
British Virgin Islands,Female,2005,825.0,1.0
British Virgin Islands,Female,2004,789.0,No footnotes
British Virgin Islands,Female,2003,735.0,1.0
British Virgin Islands,Female,2002,523.0,No footnotes
British Virgin Islands,Female,2001,423.0,No footnotes
British Virgin Islands,Female,2000,540.0,1.0
British Virgin Islands,Female,1999,598.0,No footnotes
British Virgin Islands,Male,2005,375.0,No footnotes
British Virgin Islands,Male,2004,347.0,No footnotes
British Virgin Islands,Male,2003,290.0,No footnotes
British Virgin Islands,Male,2002,235.0,No footnotes
British Virgin Islands,Male,2001,246.0,No footnotes
British Virgin Islands,Male,2000,210.0,No footnotes
British Virgin Islands,Male,1999,258.0,No footnotes
Brunei,Female,2005,3341.0,No footnotes
Brunei,Female,2004,3247.0,No footnotes
Brunei,Female,2003,2941.0,No footnotes
Brunei,Female,2002,2886.0,1.0
Brunei,Female,2001,2830.0,No footnotes
Brunei,Female,2000,2580.0,No footnotes
Brunei,Female,1999,2442.0,No footnotes
Brunei,Male,2005,1682.0,No footnotes
Brunei,Male,2004,1670.0,No footnotes
Brunei,Male,2003,1605.0,No footnotes
Brunei,Male,2002,1627.0,No footnotes
Brunei,Male,2001,1649.0,No footnotes
Brunei,Male,2000,1404.0,No footnotes
Brunei,Male,1999,1263.0,No footnotes
Bulgaria,Female,2005,123940.0,No footnotes
Bulgaria,Female,2004,119890.0,No footnotes
Bulgaria,Female,2003,121709.0,No footnotes
Bulgaria,Female,2002,123261.0,No footnotes
Bulgaria,Female,2001,139081.0,No footnotes
Bulgaria,Female,2000,149671.0,No footnotes
Bulgaria,Female,1999,160614.0,No footnotes
Bulgaria,Male,2005,113969.0,No footnotes
Bulgaria,Male,2004,108578.0,No footnotes
Bulgaria,Male,2003,108804.0,No footnotes
Bulgaria,Male,2002,105133.0,No footnotes
Bulgaria,Male,2001,107925.0,No footnotes
Bulgaria,Male,2000,111650.0,No footnotes
Bulgaria,Male,1999,109463.0,No footnotes
Burkina Faso,Female,2005,8587.0,No footnotes
Burkina Faso,Female,2004,4228.0,1.0
Burkina Faso,Female,2003,4078.0,No footnotes
Burkina Faso,Female,2002,3946.0,No footnotes
Burkina Faso,Female,2001,3130.0,1.0
Burkina Faso,Female,1999,2251.0,No footnotes
Burkina Faso,Male,2005,19355.0,No footnotes
Burkina Faso,Male,2004,14640.0,No footnotes
Burkina Faso,Male,2003,14122.0,No footnotes
Burkina Faso,Male,2002,11589.0,No footnotes
Burkina Faso,Male,2001,9192.0,5.0
Burkina Faso,Male,1999,7627.0,No footnotes
Burundi,Female,2005,4673.0,1.0
Burundi,Female,2004,4353.0,No footnotes
Burundi,Female,2003,3795.0,1.0
Burundi,Female,2002,3211.0,No footnotes
Burundi,Female,2001,1712.0,No footnotes
Burundi,Female,2000,1643.0,No footnotes
Burundi,Female,1999,1488.0,No footnotes
Burundi,Male,2005,12216.0,No footnotes
Burundi,Male,2004,11353.0,No footnotes
Burundi,Male,2003,8120.0,No footnotes
Burundi,Male,2002,7335.0,No footnotes
Burundi,Male,2001,4577.0,No footnotes
Burundi,Male,2000,4489.0,No footnotes
Burundi,Male,1999,3549.0,No footnotes
Cambodia,Female,2005,17875.0,No footnotes
Cambodia,Female,2004,14196.0,No footnotes
Cambodia,Female,2003,12457.0,1.0
Cambodia,Female,2002,9228.0,No footnotes
Cambodia,Female,2001,6950.0,No footnotes
Cambodia,Female,2000,5547.0,No footnotes
Cambodia,Male,2005,38935.0,No footnotes
Cambodia,Male,2004,31174.0,No footnotes
Cambodia,Male,2003,30753.0,5.0
Cambodia,Male,2002,22782.0,No footnotes
Cambodia,Male,2001,18466.0,No footnotes
Cambodia,Male,2000,16561.0,No footnotes
Cameroon,Female,2005,39448.0,1.0
Cameroon,Female,2004,32541.0,1.0
Cameroon,Female,2003,31538.0,1.0
Cameroon,Female,2002,30138.0,1.0
Cameroon,Male,2005,60416.0,No footnotes
Cameroon,Male,2004,51362.0,No footnotes
Cameroon,Male,2003,49780.0,5.0
Cameroon,Male,2002,47569.0,5.0
Canada,Female,2004,748927.0,1.0
Canada,Female,2002,707689.0,No footnotes
Canada,Female,2000,678935.0,No footnotes
Canada,Female,1999,683311.0,No footnotes
Canada,Male,2004,577784.0,No footnotes
Canada,Male,2002,547144.0,No footnotes
Canada,Male,2000,533226.0,No footnotes
Canada,Male,1999,537340.0,No footnotes
Cape Verde,Female,2005,1994.0,No footnotes
Cape Verde,Female,2004,1597.0,No footnotes
Cape Verde,Female,2003,1172.0,No footnotes
Cape Verde,Female,2002,924.0,No footnotes
Cape Verde,Female,2001,367.0,1.0
Cape Verde,Female,2000,409.0,1.0
Cape Verde,Male,2005,1916.0,No footnotes
Cape Verde,Male,2004,1439.0,No footnotes
Cape Verde,Male,2003,1043.0,No footnotes
Cape Verde,Male,2002,886.0,No footnotes
Cape Verde,Male,2001,351.0,5.0
Cape Verde,Male,2000,392.0,5.0
Cayman Islands,Female,2001,291.0,No footnotes
Cayman Islands,Female,2000,280.0,1.0
Cayman Islands,Female,1999,280.0,1.0
Cayman Islands,Male,2001,99.0,No footnotes
Cayman Islands,Male,2000,100.0,No footnotes
Cayman Islands,Male,1999,100.0,No footnotes
Central African Republic,Female,2000,1027.0,No footnotes
Central African Republic,Female,1999,1002.0,No footnotes
Central African Republic,Male,2000,5296.0,No footnotes
Central African Republic,Male,1999,5227.0,No footnotes
Chad,Female,2005,1310.0,1.0
Chad,Female,2004,1262.0,No footnotes
Chad,Female,2003,755.0,No footnotes
Chad,Female,2001,916.0,1.0
Chad,Female,2000,885.0,No footnotes
Chad,Male,2005,9158.0,No footnotes
Chad,Male,2004,8819.0,No footnotes
Chad,Male,2003,6642.0,No footnotes
Chad,Male,2001,5190.0,No footnotes
Chad,Male,2000,5016.0,No footnotes
Chile,Female,2005,319529.0,No footnotes
Chile,Female,2004,278712.0,No footnotes
Chile,Female,2003,271278.0,No footnotes
Chile,Female,2002,247809.0,No footnotes
Chile,Female,2000,213254.0,No footnotes
Chile,Female,1999,212448.0,No footnotes
Chile,Male,2005,344165.0,No footnotes
Chile,Male,2004,302103.0,No footnotes
Chile,Male,2003,295836.0,No footnotes
Chile,Male,2002,273800.0,No footnotes
Chile,Male,2000,238923.0,No footnotes
Chile,Male,1999,238504.0,No footnotes
China,Female,2005,9944290.0,No footnotes
China,Female,2004,8512217.0,1.0
China,Female,2003,6657178.0,No footnotes
China,Male,2005,11391356.0,No footnotes
China,Male,2004,10904827.0,5.0
China,Male,2003,8529039.0,No footnotes
Colombia,Female,2005,628006.0,No footnotes
Colombia,Female,2004,570760.0,No footnotes
Colombia,Female,2003,508128.0,1.0
Colombia,Female,2002,509251.0,No footnotes
Colombia,Female,2001,506344.0,No footnotes
Colombia,Female,2000,481970.0,No footnotes
Colombia,Female,1999,457595.0,No footnotes
Colombia,Male,2005,595588.0,No footnotes
Colombia,Male,2004,541814.0,No footnotes
Colombia,Male,2003,478552.0,No footnotes
Colombia,Male,2002,480494.0,No footnotes
Colombia,Male,2001,470899.0,No footnotes
Colombia,Male,2000,452115.0,No footnotes
Colombia,Male,1999,420349.0,No footnotes
Comoros,Female,2004,768.0,1.0
Comoros,Female,2003,737.0,No footnotes
Comoros,Female,2000,299.0,1.0
Comoros,Female,1999,277.0,No footnotes
Comoros,Male,2004,1011.0,No footnotes
Comoros,Male,2003,970.0,No footnotes
Comoros,Male,2000,415.0,5.0
Comoros,Male,1999,372.0,No footnotes
Congo,Female,2003,1969.0,1.0
Congo,Female,2002,1923.0,No footnotes
Congo,Female,2001,1599.0,No footnotes
Congo,Female,2000,3716.0,No footnotes
Congo,Female,1999,2251.0,No footnotes
Congo,Male,2003,10487.0,No footnotes
Congo,Male,2002,10241.0,No footnotes
Congo,Male,2001,11804.0,No footnotes
Congo,Male,2000,11913.0,No footnotes
Congo,Male,1999,8462.0,No footnotes
Costa Rica,Female,2005,60144.0,1.0
Costa Rica,Female,2004,59083.0,No footnotes
Costa Rica,Female,2003,41608.0,1.0
Costa Rica,Female,2002,40467.0,No footnotes
Costa Rica,Female,2001,41722.0,No footnotes
Costa Rica,Female,2000,32923.0,No footnotes
Costa Rica,Female,1999,31012.0,No footnotes
Costa Rica,Male,2005,50573.0,No footnotes
Costa Rica,Male,2004,49682.0,No footnotes
Costa Rica,Male,2003,37891.0,No footnotes
Costa Rica,Male,2002,36816.0,No footnotes
Costa Rica,Male,2001,37460.0,No footnotes
Costa Rica,Male,2000,28731.0,No footnotes
Costa Rica,Male,1999,27749.0,No footnotes
Côte d’Ivoire,Female,1999,25398.0,No footnotes
Côte d’Ivoire,Male,1999,71283.0,No footnotes
Croatia,Female,2003,64749.0,No footnotes
Croatia,Female,2002,59028.0,No footnotes
Croatia,Female,2001,54637.0,No footnotes
Croatia,Female,2000,51021.0,No footnotes
Croatia,Female,1999,50726.0,No footnotes
Croatia,Male,2003,56973.0,No footnotes
Croatia,Male,2002,53509.0,No footnotes
Croatia,Male,2001,49531.0,No footnotes
Croatia,Male,2000,45777.0,No footnotes
Croatia,Male,1999,45163.0,No footnotes
Cuba,Female,2005,293089.0,1.0
Cuba,Female,2004,247063.0,1.0
Cuba,Female,2003,132543.0,No footnotes
Cuba,Female,2002,104036.0,No footnotes
Cuba,Female,2001,92824.0,No footnotes
Cuba,Female,2000,84826.0,No footnotes
Cuba,Female,1999,81558.0,No footnotes
Cuba,Male,2005,178769.0,5.0
Cuba,Male,2004,149453.0,5.0
Cuba,Male,2003,103454.0,No footnotes
Cuba,Male,2002,87226.0,No footnotes
Cuba,Male,2001,85197.0,No footnotes
Cuba,Male,2000,73848.0,No footnotes
Cuba,Male,1999,71905.0,No footnotes
Cyprus,Female,2005,10442.0,No footnotes
Cyprus,Female,2004,9990.0,No footnotes
Cyprus,Female,2003,9044.0,No footnotes
Cyprus,Female,2002,7636.0,No footnotes
Cyprus,Female,2001,6923.0,No footnotes
Cyprus,Female,2000,5945.0,No footnotes
Cyprus,Female,1999,6075.0,No footnotes
Cyprus,Male,2005,9636.0,No footnotes
Cyprus,Male,2004,10859.0,No footnotes
Cyprus,Male,2003,9228.0,No footnotes
Cyprus,Male,2002,6291.0,No footnotes
Cyprus,Male,2001,5011.0,No footnotes
Cyprus,Male,2000,4469.0,No footnotes
Cyprus,Male,1999,4767.0,No footnotes
Czech Republic,Female,2005,176965.0,No footnotes
Czech Republic,Female,2004,163409.0,No footnotes
Czech Republic,Female,2003,145451.0,No footnotes
Czech Republic,Female,2002,145747.0,No footnotes
Czech Republic,Female,2001,130298.0,No footnotes
Czech Republic,Female,2000,126289.0,No footnotes
Czech Republic,Female,1999,114991.0,No footnotes
Czech Republic,Male,2005,159342.0,No footnotes
Czech Republic,Male,2004,155449.0,No footnotes
Czech Republic,Male,2003,141550.0,No footnotes
Czech Republic,Male,2002,138738.0,No footnotes
Czech Republic,Male,2001,129746.0,No footnotes
Czech Republic,Male,2000,127406.0,No footnotes
Czech Republic,Male,1999,116233.0,No footnotes
Denmark,Female,2005,133376.0,No footnotes
Denmark,Female,2004,125628.0,No footnotes
Denmark,Female,2003,116844.0,No footnotes
Denmark,Female,2002,112698.0,No footnotes
Denmark,Female,2001,108290.0,No footnotes
Denmark,Female,2000,107644.0,No footnotes
Denmark,Female,1999,106957.0,No footnotes
Denmark,Male,2005,98879.0,No footnotes
Denmark,Male,2004,91502.0,No footnotes
Denmark,Male,2003,84902.0,No footnotes
Denmark,Male,2002,83506.0,No footnotes
Denmark,Male,2001,83732.0,No footnotes
Denmark,Male,2000,81518.0,No footnotes
Denmark,Male,1999,83013.0,No footnotes
Djibouti,Female,2005,708.0,No footnotes
Djibouti,Female,2004,508.0,No footnotes
Djibouti,Female,2003,371.0,No footnotes
Djibouti,Female,2002,324.0,No footnotes
Djibouti,Female,2001,207.0,No footnotes
Djibouti,Female,2000,89.0,No footnotes
Djibouti,Female,1999,89.0,No footnotes
Djibouti,Male,2005,988.0,No footnotes
Djibouti,Male,2004,626.0,No footnotes
Djibouti,Male,2003,535.0,No footnotes
Djibouti,Male,2002,404.0,No footnotes
Djibouti,Male,2001,289.0,No footnotes
Djibouti,Male,2000,101.0,No footnotes
Djibouti,Male,1999,86.0,No footnotes
Dominican Republic,Female,2004,180045.0,1.0
Dominican Republic,Female,2003,175973.0,No footnotes
Dominican Republic,Male,2004,113520.0,No footnotes
Dominican Republic,Male,2003,110981.0,No footnotes
El Salvador,Female,2005,66982.0,No footnotes
El Salvador,Female,2004,65451.0,No footnotes
El Salvador,Female,2003,62774.0,No footnotes
El Salvador,Female,2002,61449.0,No footnotes
El Salvador,Female,2001,59551.0,No footnotes
El Salvador,Female,2000,62222.0,No footnotes
El Salvador,Female,1999,65299.0,No footnotes
El Salvador,Male,2005,55449.0,No footnotes
El Salvador,Male,2004,54813.0,No footnotes
El Salvador,Male,2003,53747.0,No footnotes
El Salvador,Male,2002,51917.0,No footnotes
El Salvador,Male,2001,50395.0,No footnotes
El Salvador,Male,2000,52453.0,No footnotes
El Salvador,Male,1999,53192.0,No footnotes
Equatorial Guinea,Female,2000,304.0,No footnotes
Equatorial Guinea,Male,2000,699.0,No footnotes
Eritrea,Female,2004,606.0,No footnotes
Eritrea,Female,2003,768.0,1.0
Eritrea,Female,2002,738.0,No footnotes
Eritrea,Female,2001,738.0,No footnotes
Eritrea,Female,2000,592.0,No footnotes
Eritrea,Female,1999,540.0,No footnotes
Eritrea,Male,2004,4006.0,No footnotes
Eritrea,Male,2003,4987.0,No footnotes
Eritrea,Male,2002,4769.0,No footnotes
Eritrea,Male,2001,4767.0,No footnotes
Eritrea,Male,2000,3543.0,No footnotes
Eritrea,Male,1999,3454.0,No footnotes
Estonia,Female,2005,41677.0,No footnotes
Estonia,Female,2004,40558.0,No footnotes
Estonia,Female,2003,39153.0,No footnotes
Estonia,Female,2002,37269.0,No footnotes
Estonia,Female,2001,34719.0,No footnotes
Estonia,Female,2000,31346.0,No footnotes
Estonia,Female,1999,28124.0,No footnotes
Estonia,Male,2005,26083.0,No footnotes
Estonia,Male,2004,25101.0,No footnotes
Estonia,Male,2003,24472.0,No footnotes
Estonia,Male,2002,23379.0,No footnotes
Estonia,Male,2001,23059.0,No footnotes
Estonia,Male,2000,22267.0,No footnotes
Estonia,Male,1999,20560.0,No footnotes
Ethiopia,Female,2005,46574.0,No footnotes
Ethiopia,Female,2004,43307.0,No footnotes
Ethiopia,Female,2003,37259.0,No footnotes
Ethiopia,Female,2002,26898.0,No footnotes
Ethiopia,Female,2001,18707.0,No footnotes
Ethiopia,Female,2000,14681.0,No footnotes
Ethiopia,Female,1999,9769.0,No footnotes
Ethiopia,Male,2005,144591.0,No footnotes
Ethiopia,Male,2004,128804.0,No footnotes
Ethiopia,Male,2003,110695.0,No footnotes
Ethiopia,Male,2002,74931.0,No footnotes
Ethiopia,Male,2001,68724.0,No footnotes
Ethiopia,Male,2000,53051.0,No footnotes
Ethiopia,Male,1999,42536.0,No footnotes
Fiji,Female,2005,6747.0,1.0
Fiji,Female,2004,6790.0,No footnotes
Fiji,Female,2003,6798.0,1.0
Fiji,Male,2005,5970.0,No footnotes
Fiji,Male,2004,5993.0,No footnotes
Fiji,Male,2003,5981.0,No footnotes
Finland,Female,2005,163872.0,No footnotes
Finland,Female,2004,160104.0,No footnotes
Finland,Female,2003,156012.0,No footnotes
Finland,Female,2002,153520.0,No footnotes
Finland,Female,2001,150585.0,No footnotes
Finland,Female,2000,145099.0,No footnotes
Finland,Female,1999,141879.0,No footnotes
Finland,Male,2005,142124.0,No footnotes
Finland,Male,2004,139784.0,No footnotes
Finland,Male,2003,135652.0,No footnotes
Finland,Male,2002,130285.0,No footnotes
Finland,Male,2001,129043.0,No footnotes
Finland,Male,2000,125086.0,No footnotes
Finland,Male,1999,121011.0,No footnotes
France,Female,2005,1207887.0,No footnotes
France,Female,2004,1189125.0,No footnotes
France,Female,2003,1166248.0,No footnotes
France,Female,2002,1111993.0,No footnotes
France,Female,2001,1099629.0,No footnotes
France,Female,2000,1092477.0,No footnotes
France,Female,1999,1095322.0,No footnotes
France,Male,2005,979496.0,No footnotes
France,Male,2004,971175.0,No footnotes
France,Male,2003,952901.0,No footnotes
France,Male,2002,917186.0,No footnotes
France,Male,2001,932114.0,No footnotes
France,Male,2000,922867.0,No footnotes
France,Male,1999,916871.0,No footnotes
Gabon,Female,1999,2667.0,No footnotes
Gabon,Male,1999,4806.0,No footnotes
Gambia The,Female,2004,293.0,No footnotes
Gambia The,Female,1999,265.0,No footnotes
Gambia The,Male,2004,1237.0,No footnotes
Gambia The,Male,1999,904.0,No footnotes
Georgia,Female,2005,87836.0,No footnotes
Georgia,Female,2004,78359.0,No footnotes
Georgia,Female,2003,75834.0,No footnotes
Georgia,Female,2002,74320.0,No footnotes
Georgia,Female,2001,68842.0,No footnotes
Georgia,Female,2000,67418.0,No footnotes
Georgia,Female,1999,67658.0,No footnotes
Georgia,Male,2005,86419.0,No footnotes
Georgia,Male,2004,76699.0,No footnotes
Georgia,Male,2003,79619.0,No footnotes
Georgia,Male,2002,74822.0,No footnotes
Georgia,Male,2001,71785.0,No footnotes
Georgia,Male,2000,69628.0,No footnotes
Georgia,Male,1999,62506.0,No footnotes
Ghana,Female,2005,41783.0,No footnotes
Ghana,Female,2004,22059.0,No footnotes
Ghana,Female,2003,22344.0,No footnotes
Ghana,Female,2002,18992.0,No footnotes
Ghana,Female,2001,18282.0,No footnotes
Ghana,Female,2000,13646.0,No footnotes
Ghana,Male,2005,77776.0,No footnotes
Ghana,Male,2004,47909.0,No footnotes
Ghana,Male,2003,47949.0,No footnotes
Ghana,Male,2002,49397.0,No footnotes
Ghana,Male,2001,45816.0,No footnotes
Ghana,Male,2000,41012.0,No footnotes
Greece,Female,2005,330440.0,No footnotes
Greece,Female,2004,308697.0,No footnotes
Greece,Female,2003,286091.0,No footnotes
Greece,Female,2002,271230.0,No footnotes
Greece,Female,2001,244413.0,No footnotes
Greece,Female,2000,211087.0,No footnotes
Greece,Female,1999,194908.0,No footnotes
