Country or Area,Subgroup,Year,Value,Value Footnotes
Lithuania,Female,2001,79.0,No footnotes
Lithuania,Female,2000,80.0,No footnotes
Lithuania,Female,1999,80.0,No footnotes
Macau SAR,Female,2005,66.0,No footnotes
Macedonia,Female,2005,74.0,No footnotes
Macedonia,Female,2004,76.0,No footnotes
Macedonia,Female,2003,77.0,No footnotes
Macedonia,Female,2002,78.0,No footnotes
Macedonia,Female,2001,78.0,No footnotes
Macedonia,Female,2000,74.0,No footnotes
Macedonia,Female,1999,76.0,No footnotes
Madagascar,Female,2005,46.0,No footnotes
Madagascar,Female,2002,45.0,No footnotes
Madagascar,Female,2001,43.0,No footnotes
Malaysia,Female,2004,58.0,No footnotes
Malaysia,Female,2002,65.0,No footnotes
Maldives,Female,2003,70.0,No footnotes
Malta,Female,2005,72.0,No footnotes
Malta,Female,2004,78.0,No footnotes
Malta,Female,2003,74.0,No footnotes
Malta,Female,2002,75.0,No footnotes
Malta,Female,2001,71.0,No footnotes
Malta,Female,2000,66.0,No footnotes
Malta,Female,1999,67.0,No footnotes
Mauritania,Female,2005,17.0,No footnotes
Mauritania,Female,2003,13.0,No footnotes
Mauritius,Female,2005,55.0,No footnotes
Mauritius,Female,2004,78.0,No footnotes
Mauritius,Female,2003,71.0,No footnotes
Mauritius,Female,2002,66.0,No footnotes
Mauritius,Female,2001,67.0,No footnotes
Mauritius,Female,2000,50.0,No footnotes
Mauritius,Female,1999,53.0,No footnotes
Mexico,Female,2005,70.0,No footnotes
Mexico,Female,2004,69.0,No footnotes
Mexico,Female,2003,68.0,No footnotes
Mexico,Female,2002,67.0,No footnotes
Mexico,Female,2001,66.0,No footnotes
Mexico,Female,2000,65.0,No footnotes
Mexico,Female,1999,65.0,No footnotes
Mongolia,Female,2005,77.0,No footnotes
Mongolia,Female,2004,77.0,No footnotes
Mongolia,Female,2003,75.0,No footnotes
Mongolia,Female,2002,77.0,No footnotes
Mongolia,Female,2001,77.0,No footnotes
Mongolia,Female,2000,76.0,No footnotes
Mongolia,Female,1999,78.0,No footnotes
Morocco,Female,2005,51.0,No footnotes
Morocco,Female,2004,53.0,No footnotes
Morocco,Female,2003,55.0,No footnotes
Morocco,Female,2001,49.0,No footnotes
Morocco,Female,2000,30.0,No footnotes
Morocco,Female,1999,30.0,No footnotes
Mozambique,Female,2005,33.0,No footnotes
Mozambique,Female,2004,31.0,No footnotes
Namibia,Female,2003,54.0,No footnotes
Namibia,Female,2001,55.0,No footnotes
Namibia,Female,1999,54.0,No footnotes
Netherlands,Female,2005,73.0,No footnotes
Netherlands,Female,2004,74.0,No footnotes
Netherlands,Female,2003,74.0,No footnotes
Netherlands,Female,2002,75.0,No footnotes
Netherlands,Female,2001,74.0,No footnotes
Netherlands,Female,2000,73.0,No footnotes
Netherlands,Female,1999,72.0,No footnotes
Netherlands Antilles,Female,2001,95.0,No footnotes
Netherlands Antilles,Female,2000,97.0,No footnotes
New Zealand,Female,2005,81.0,No footnotes
New Zealand,Female,2004,81.0,No footnotes
New Zealand,Female,2003,83.0,No footnotes
New Zealand,Female,2002,82.0,No footnotes
New Zealand,Female,2001,80.0,No footnotes
New Zealand,Female,2000,80.0,No footnotes
New Zealand,Female,1999,81.0,No footnotes
Norway,Female,2005,75.0,No footnotes
Norway,Female,2004,76.0,No footnotes
Norway,Female,2003,78.0,No footnotes
Norway,Female,2002,78.0,No footnotes
Norway,Female,2001,78.0,No footnotes
Norway,Female,2000,77.0,No footnotes
Norway,Female,1999,76.0,No footnotes
Oman,Female,2005,69.0,4.0
"Palestinian Territory, Occupied",Female,2004,64.0,No footnotes
"Palestinian Territory, Occupied",Female,2003,71.0,No footnotes
"Palestinian Territory, Occupied",Female,2002,70.0,No footnotes
"Palestinian Territory, Occupied",Female,2001,70.0,No footnotes
"Palestinian Territory, Occupied",Female,2000,66.0,No footnotes
"Palestinian Territory, Occupied",Female,1999,62.0,No footnotes
Panama,Female,2005,76.0,No footnotes
Panama,Female,2004,78.0,No footnotes
Panama,Female,2003,37.0,No footnotes
Panama,Female,2002,79.0,No footnotes
Philippines,Female,2003,75.0,No footnotes
Poland,Female,2005,72.0,No footnotes
Poland,Female,2004,72.0,No footnotes
Poland,Female,2003,73.0,No footnotes
Poland,Female,2002,73.0,No footnotes
Poland,Female,2001,74.0,No footnotes
Poland,Female,2000,74.0,No footnotes
Poland,Female,1999,76.0,No footnotes
Portugal,Female,2005,84.0,No footnotes
Portugal,Female,2004,84.0,No footnotes
Portugal,Female,2003,83.0,No footnotes
Portugal,Female,2002,82.0,No footnotes
Portugal,Female,2000,80.0,No footnotes
Qatar,Female,2004,89.0,No footnotes
Qatar,Female,2003,91.0,No footnotes
Qatar,Female,2002,91.0,No footnotes
Qatar,Female,2001,91.0,No footnotes
Romania,Female,2005,77.0,No footnotes
Romania,Female,2004,77.0,No footnotes
Romania,Female,2003,75.0,No footnotes
Romania,Female,2002,76.0,No footnotes
Romania,Female,2001,51.0,No footnotes
Romania,Female,2000,37.0,No footnotes
Romania,Female,1999,62.0,No footnotes
Samoa,Female,2000,67.0,No footnotes
San Marino,Female,2000,81.0,No footnotes
Saudi Arabia,Female,2005,71.0,No footnotes
Saudi Arabia,Female,2004,81.0,No footnotes
Saudi Arabia,Female,2003,86.0,No footnotes
Saudi Arabia,Female,2000,82.0,No footnotes
Serbia and Montenegro,Female,2001,85.0,No footnotes
Serbia and Montenegro,Female,2000,74.0,No footnotes
Serbia and Montenegro,Female,1999,75.0,No footnotes
Sierra Leone,Female,2001,33.0,No footnotes
Sierra Leone,Female,2000,44.0,No footnotes
Slovakia,Female,2005,74.0,No footnotes
Slovakia,Female,2004,74.0,No footnotes
Slovakia,Female,2003,75.0,No footnotes
