reference_area,time_period,observation_value
Burkina Faso,2008,44.236850000000004
Burkina Faso,2009,47.37693
Burkina Faso,2010,49.379979999999996
Burkina Faso,2011,55.33287
Burkina Faso,2012,59.18947
Burkina Faso,2013,64.93434
Burundi,1976,6.254910000000001
Burundi,1977,6.33528
Burundi,1980,6.564500000000001
Burundi,1982,7.6978100000000005
Burundi,1983,7.21083
Burundi,1984,7.45245
Burundi,1985,8.08126
Burundi,1986,8.73541
Burundi,1987,9.62109
Burundi,1993,14.8965
Burundi,2009,38.6275
Burundi,2010,44.69621
Burundi,2011,49.56592
Burundi,2012,53.74357
Burundi,2013,62.05213
Burundi,2014,74.84903
Cambodia,1998,49.61771999999999
Cambodia,1999,44.445499999999996
Cambodia,2000,46.6327
Cambodia,2001,50.22748
Cambodia,2002,66.39149
Cambodia,2003,79.01616
Cambodia,2004,81.89012
Cambodia,2006,96.33793
Cambodia,2007,107.25747000000001
Cambodia,2008,114.50044
Cameroon,1975,29.61961
Cameroon,1976,32.386309999999995
Cameroon,1977,35.0791
Cameroon,1978,38.27514
Cameroon,1979,40.13098
Cameroon,1980,41.58721
Cameroon,1981,44.04087
Cameroon,2012,116.3657
Cameroon,2013,120.48175
Cameroon,2014,129.37203
Canada,1994,272.23599
Cape Verde,1987,28.465539999999997
Cape Verde,1994,72.44674
Cape Verde,2002,166.03133
Cape Verde,2003,166.61450000000002
Cape Verde,2004,164.98093
Cape Verde,2005,175.22839
Cape Verde,2006,177.75333999999998
Cape Verde,2007,184.00118
Cape Verde,2009,194.16554
Cape Verde,2010,65.13894
Cape Verde,2012,204.63133
Cape Verde,2013,206.72176000000002
Cape Verde,2014,207.42472
Central African Republic,2009,31.62838
Central African Republic,2011,41.80748
Central African Republic,2012,40.8738
Chad,1998,18.308799999999998
Chad,1999,20.94594
Chad,2000,21.69928
Chad,2001,25.159470000000002
Chad,2002,28.734479999999998
Chad,2003,31.53516
Chile,2007,275.76455999999996
Chile,2008,273.02529
Chile,2009,265.44894
Chile,2010,267.36748
Chile,2011,265.19252
Chile,2012,259.30113
Chile,2013,265.77531999999997
Chile,2014,264.96306
Colombia,2005,192.32939
Colombia,2006,206.85827
Colombia,2007,217.03701999999998
Colombia,2008,221.8207
Colombia,2009,231.79208
Colombia,2010,236.40525000000002
Colombia,2011,242.94069
Colombia,2012,237.70302
Colombia,2013,239.05337
Colombia,2014,235.87894
Comoros,2013,131.85336999999998
Congo,1976,109.75079
Cook Islands,1998,180.58465999999999
Cook Islands,1999,177.12894
Cook Islands,2000,224.61028
Cook Islands,2005,228.74156
Cook Islands,2007,245.90159
Cook Islands,2010,238.7276
Cook Islands,2011,264.07177
Cook Islands,2012,250.4767
Costa Rica,1975,103.76657
Costa Rica,1976,105.09334000000001
Costa Rica,1979,114.06902
Costa Rica,1981,116.11908
Costa Rica,1982,111.39692
Costa Rica,1985,103.11022
Costa Rica,1986,105.57177
Costa Rica,1987,108.23884000000001
Costa Rica,1989,110.03723
Costa Rica,1990,112.62638
Costa Rica,1991,114.09328
