Country or Area,Subgroup,Year,Source,Unit,Value,Value Footnotes
Austria,Female,2000,UNESCO_UIS Database_Sep2007,Number,133122,
Austria,Female,1999,UNESCO_UIS Database_Sep2007,Number,126534,
Austria,Male,2005,UNESCO_UIS Database_Sep2007,Number,113266,
Austria,Male,2004,UNESCO_UIS Database_Sep2007,Number,111316,
Austria,Male,2003,UNESCO_UIS Database_Sep2007,Number,108024,
Austria,Male,2002,UNESCO_UIS Database_Sep2007,Number,105854,
Austria,Male,2001,UNESCO_UIS Database_Sep2007,Number,127447,
Austria,Male,2000,UNESCO_UIS Database_Sep2007,Number,128107,
Austria,Male,1999,UNESCO_UIS Database_Sep2007,Number,126359,
Azerbaijan,Female,2005,UNESCO_UIS Database_Sep2007,Number,60131,
Azerbaijan,Female,2004,UNESCO_UIS Database_Sep2007,Number,56431,
Azerbaijan,Female,2003,UNESCO_UIS Database_Sep2007,Number,54117,
Azerbaijan,Female,2002,UNESCO_UIS Database_Sep2007,Number,53661,
Azerbaijan,Female,2001,UNESCO_UIS Database_Sep2007,Number,50203,
Azerbaijan,Female,2000,UNESCO_UIS Database_Sep2007,Number,46884,
Azerbaijan,Female,1999,UNESCO_UIS Database_Sep2007,Number,42066,
Azerbaijan,Male,2005,UNESCO_UIS Database_Sep2007,Number,68503,
Azerbaijan,Male,2004,UNESCO_UIS Database_Sep2007,Number,66339,
Azerbaijan,Male,2003,UNESCO_UIS Database_Sep2007,Number,67039,
Azerbaijan,Male,2002,UNESCO_UIS Database_Sep2007,Number,67814,
Azerbaijan,Male,2001,UNESCO_UIS Database_Sep2007,Number,70490,
Azerbaijan,Male,2000,UNESCO_UIS Database_Sep2007,Number,70193,
Azerbaijan,Male,1999,UNESCO_UIS Database_Sep2007,Number,65717,
Bahamas,Female,2005,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Female,2004,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Female,2003,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Female,2002,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Female,2001,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Female,2000,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Female,1999,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Male,2005,UNESCO_UIS Database_Sep2007,Number,…,4
Bahamas,Male,2004,UNESCO_UIS Database_Sep2007,Number,…,4
